657,Radiologi,US mammae,Permintaan & Hasil,24601-7,US Breast,Multisection,Find,Pt,Breast,Doc,US,,http://loinc.org,,,
658,Radiologi,US mammae dengan kontras intraduktal,Permintaan & Hasil,30853-6,US Breast duct W contrast intra duct,Multisection^W contrast intra duct,Find,Pt,Breast>Breast duct,Doc,US,,http://loinc.org,,,
659,Radiologi,US mata,Permintaan & Hasil,98035-9,US Eye,Multisection,Find,Pt,Head>Eye,Doc,US,,http://loinc.org,,,
660,Radiologi,US mata A-scan,Permintaan & Hasil,99826-0,US.A-scan Eye,Multisection,Find,Pt,Head>Eye,Doc,US.A-scan,,http://loinc.org,,,
661,Radiologi,US mata lokalisasi benda asing,Permintaan & Hasil,37608-7,US Guidance for localization of foreign body of Eye,Guidance for localization of foreign body,Find,Pt,Head>Eye,Doc,US,,http://loinc.org,,,
662,Radiologi,US muskuloskeletal,Permintaan & Hasil,80855-0,US Extremity musculoskeletal tissue,Multisection,Find,Pt,Extremity>Musculoskeletal tissue,Doc,US,,http://loinc.org,,,
663,Radiologi,US muskuloskeletal bilateral,Permintaan & Hasil,80855-0,US Extremity musculoskeletal tissue,Multisection,Find,Pt,Extremity>Musculoskeletal tissue,Doc,US,,http://loinc.org,,,
664,Radiologi,US muskuloskeletal ipsilateral,Permintaan & Hasil,X099266,US muskuloskeletal ipsilateral,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
665,Radiologi,US muskuloskeletal superfisial,Permintaan & Hasil,X099267,US muskuloskeletal superfisial,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
666,Radiologi,US muskuloskeletal trochanter kanan,Permintaan & Hasil,38048-5,US Femur - right,Multisection,Find,Pt,Lower extremity.right>Femur,Doc,US,,http://loinc.org,787046006,Structure of trochanter of right femur,http://snomed.info/sct
667,Radiologi,US muskuloskeletal trochanter sinistra,Permintaan & Hasil,38037-8,US Femur - left,Multisection,Find,Pt,Lower extremity.left>Femur,Doc,US,,http://loinc.org,787045005,Structure of trochanter of left femur,http://snomed.info/sct
668,Radiologi,US pankreas,Permintaan & Hasil,24859-1,US Pancreas,Multisection,Find,Pt,Abdomen>Pancreas,Doc,US,,http://loinc.org,,,
669,Radiologi,US pelvis,Permintaan & Hasil,24869-0,US Pelvis,Multisection,Find,Pt,Pelvis,Doc,US,,http://loinc.org,,,
670,Radiologi,US pelvis (nonobstetrik) lengkap,Permintaan & Hasil,24869-0,US Pelvis,Multisection,Find,Pt,Pelvis,Doc,US,,http://loinc.org,,,
671,Radiologi,US pelvis (nonobstetrik) terbatas,Permintaan & Hasil,38046-9,US Pelvis limited,Multisection limited,Find,Pt,Pelvis,Doc,US,,http://loinc.org,,,
672,Radiologi,US pembuluh darah ekstremitas inferior bilateral,Permintaan & Hasil,39422-1,US.doppler Lower extremity vessels - bilateral,Multisection,Find,Pt,Lower extremity.bilateral>Lower extremity vessels,Doc,US.doppler,,http://loinc.org,,,
673,Radiologi,US profil biofisik janin,Permintaan,48770-2,Fetal Biophysical profile panel US,Biophysical profile panel,-,Pt,^Fetus,-,US,,http://loinc.org,,,
674,Radiologi,US profil biofisik janin amniotic fluid volume,Hasil,11630-1,Fetal Biophysical profile.amniotic fluid volume US,Biophysical profile.amniotic fluid volume,Fcn,Pt,^Fetus,Ord,US,,http://loinc.org,,,
675,Radiologi,US profil biofisik janin body movement,Hasil,11631-9,Fetal Biophysical profile.body movement US,Biophysical profile.body movement,Fcn,Pt,^Fetus,Ord,US,,http://loinc.org,,,
676,Radiologi,US profil biofisik janin breathing movement,Hasil,11632-7,Fetal Biophysical profile.breathing movement US,Biophysical profile.breathing movement,Fcn,Pt,^Fetus,Ord,US,,http://loinc.org,,,
677,Radiologi,US profil biofisik janin heart rate reactivity,Hasil,11633-5,Fetal Heart rate reactivity US,Heart rate reactivity,Fcn,Pt,^Fetus,Ord,US,,http://loinc.org,,,
678,Radiologi,US profil biofisik janin tonus,Hasil,11635-0,Fetal Biophysical profile.tone US,Biophysical profile.tone,Fcn,Pt,^Fetus,Ord,US,,http://loinc.org,,,
679,Radiologi,US prostat transrektal,Permintaan & Hasil,24884-9,US Prostate transrectal,Multisection transrectal,Find,Pt,Pelvis>Prostate,Doc,US,,http://loinc.org,,,
680,Radiologi,US renal hasil transplantasi,Permintaan & Hasil,39032-8,US for transplanted kidney,Multisection for transplanted kidney,Find,Pt,Pelvis,Doc,US,,http://loinc.org,,,
681,Radiologi,US retroperitoneal B-scan lengkap,Permintaan & Hasil,24531-6,US Retroperitoneum,Multisection,Find,Pt,Abdomen>Retroperitoneum,Doc,US,,http://loinc.org,,,
682,Radiologi,US retroperitoneal B-scan terbatas,Permintaan & Hasil,38047-7,US Retroperitoneum limited,Multisection limited,Find,Pt,Abdomen>Retroperitoneum,Doc,US,,http://loinc.org,,,
683,Radiologi,US skrining aorta abdominal dengan B-scan,Permintaan & Hasil,79374-5,US Abdominal Aorta for screening,Multisection for screening,Find,Pt,Abdomen>Aorta.abdominal,Doc,US,,http://loinc.org,,,
684,Radiologi,US skrotum dan testis,Permintaan & Hasil,25002-7,US Scrotum and testicle,Multisection,Find,Pt,Pelvis>Scrotum+Testicle,Doc,US,,http://loinc.org,,,
685,Radiologi,US testis,Permintaan & Hasil,25002-7,US Scrotum and testicle,Multisection,Find,Pt,Pelvis>Scrotum+Testicle,Doc,US,,http://loinc.org,,,
686,Radiologi,US thorax,Permintaan & Hasil,24630-6,US Chest,Multisection,Find,Pt,Chest,Doc,US,,http://loinc.org,,,
687,Radiologi,US thorax B-scan,Permintaan & Hasil,24630-6,US Chest,Multisection,Find,Pt,Chest,Doc,US,,http://loinc.org,,,
688,Radiologi,US thyroid,Permintaan & Hasil,25010-0,US Thyroid gland,Multisection,Find,Pt,Neck>Thyroid gland,Doc,US,,http://loinc.org,,,
689,Radiologi,US tractus urinarius,Permintaan,35093-4,Urology urinary tract ultrasound,Urology urinary tract ultrasound,-,Pt,^Patient,-,,,http://loinc.org,,,
690,Radiologi,US transrektal prostat untuk pemeriksaan volume,Permintaan & Hasil,80876-6,US Prostate transrectal for volume measurement,Multisection transrectal for volume measurement,Find,Pt,Pelvis>Prostate,Doc,US,,http://loinc.org,,,
691,Radiologi,US transvaginal,Permintaan & Hasil,24677-7,US Pelvis transvaginal,Multisection transvaginal,Find,Pt,Pelvis,Doc,US,,http://loinc.org,,,
692,Radiologi,US vena ekstremitas inferior bilateral,Permintaan & Hasil,46364-6,US Lower extremity vein - bilateral,Multisection,Find,Pt,Lower extremity.bilateral>Lower extremity vein,Doc,US,,http://loinc.org,,,
693,Radiologi,US vena ekstremitas inferior kanan,Permintaan & Hasil,48691-0,US Lower extremity vein - right,Multisection,Find,Pt,Lower extremity.right>Lower extremity vein,Doc,US,,http://loinc.org,,,
694,Radiologi,US vena ekstremitas inferior kiri,Permintaan & Hasil,48692-8,US Lower extremity vein - left,Multisection,Find,Pt,Lower extremity.left>Lower extremity vein,Doc,US,,http://loinc.org,,,
695,Radiologi,US vena ekstremitas superior bilateral,Permintaan & Hasil,48690-2,US Upper extremity vein - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Upper extremity vein,Doc,US,,http://loinc.org,,,
696,Radiologi,US vena ekstremitas superior kanan,Permintaan & Hasil,48688-6,US Upper extremity vein - right,Multisection,Find,Pt,Upper extremity.right>Upper extremity vein,Doc,US,,http://loinc.org,,,
697,Radiologi,US vena ekstremitas superior kiri,Permintaan & Hasil,48689-4,US Upper extremity vein - left,Multisection,Find,Pt,Upper extremity.left>Upper extremity vein,Doc,US,,http://loinc.org,,,
698,Radiologi,US vertebra,Permintaan & Hasil,24926-8,US Spine,Multisection,Find,Pt,XXX>Spine,Doc,US,,http://loinc.org,,,
699,Radiologi,US wrist,Permintaan & Hasil,25036-5,US Wrist,Multisection,Find,Pt,Upper extremity>Wrist,Doc,US,,http://loinc.org,,,
700,Radiologi,US wrist bilateral,Permintaan & Hasil,26278-2,US Wrist - bilateral,Multisection,Find,Pt,Upper extremity.bilateral>Wrist,Doc,US,,http://loinc.org,,,
701,Radiologi,XR abdomen 1 proyeksi,Permintaan & Hasil,36550-2,XR Abdomen Single view,View,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
702,Radiologi,XR abdomen AP,Permintaan & Hasil,24799-9,XR Abdomen AP,View AP,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
703,Radiologi,XR abdomen AP oblique dan cone,Permintaan & Hasil,83016-6,XR Abdomen GE 3 Views AP and Oblique and Cone,Views GE 3 AP + oblique + cone,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
704,Radiologi,XR abdomen dan thorax babygram,Permintaan & Hasil,83019-0,XR Chest and Abdomen and Pelvis View babygram,View babygram,Find,Pt,Chest+Abdomen+Pelvis,Doc,XR,,http://loinc.org,,,
705,Radiologi,XR abdomen dua proyeksi,Permintaan & Hasil,36641-9,XR Abdomen 2 Views,Views 2,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
706,Radiologi,XR abdomen lengkap proyeksi erect dan dekubitus,Permintaan & Hasil,42019-0,XR Abdomen upright and left lateral decubitus,Views upright + L-lateral-decubitus,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
707,Radiologi,"XR abdomen lengkap proyeksi supine, erect, dan lateral dekubitus",Permintaan & Hasil,94679-8,XR Chest Single View and Abdomen Supine and Upright and Lateral-decubitus,View && Views supine + upright + lateral-decubitus,Find,Pt,Chest && Abdomen,Doc,XR,,http://loinc.org,,,
708,Radiologi,XR abdomen LLD (Left Lateral Decubitus),Permintaan & Hasil,24561-3,XR Abdomen AP left lateral-decubitus,View AP L-lateral-decubitus,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
709,Radiologi,XR abdomen RLD (Right Lateral Decubitus),Permintaan & Hasil,24563-9,XR Abdomen AP right lateral-decubitus,View AP R-lateral-decubitus,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
710,Radiologi,XR abdomen tiga proyeksi,Permintaan & Hasil,36293-9,XR Abdomen 3 Views,Views 3,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
711,Radiologi,XR ankle AP dan lateral kanan,Permintaan & Hasil,37667-3,XR Ankle - right AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.right>Ankle,Doc,XR,,http://loinc.org,,,
712,Radiologi,XR ankle AP dan lateral kiri,Permintaan & Hasil,36685-6,XR Ankle - left AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.left>Ankle,Doc,XR,,http://loinc.org,,,
713,Radiologi,"XR ankle AP, lateral dan mortis",Permintaan & Hasil,37095-7,XR Ankle AP and Lateral and Mortise,Views AP + lateral + Mortise,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,,,
714,Radiologi,"XR ankle AP, lateral dan mortis bilateral",Permintaan & Hasil,37096-5,XR Ankle - bilateral AP and Lateral and Mortise,Views AP + lateral + Mortise,Find,Pt,Lower extremity.bilateral>Ankle,Doc,XR,,http://loinc.org,,,
715,Radiologi,"XR ankle AP, lateral dan mortise kanan",Permintaan & Hasil,37666-5,XR Ankle - right AP and Lateral and Mortise,Views AP + lateral + Mortise,Find,Pt,Lower extremity.right>Ankle,Doc,XR,,http://loinc.org,,,
716,Radiologi,"XR ankle AP, lateral dan mortise kiri",Permintaan & Hasil,37097-3,XR Ankle - left AP and Lateral and Mortise,Views AP + lateral + Mortise,Find,Pt,Lower extremity.left>Ankle,Doc,XR,,http://loinc.org,,,
717,Radiologi,XR ankle bilateral dua proyeksi,Permintaan & Hasil,26385-5,XR Ankle - bilateral 2 Views,Views 2,Find,Pt,Lower extremity.bilateral>Ankle,Doc,XR,,http://loinc.org,,,
718,Radiologi,XR ankle dua proyeksi,Permintaan & Hasil,24540-7,XR Ankle 2 Views,Views 2,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,,,
719,Radiologi,XR ankle dua proyeksi kanan,Permintaan & Hasil,26387-1,XR Ankle - right 2 Views,Views 2,Find,Pt,Lower extremity.right>Ankle,Doc,XR,,http://loinc.org,,,
720,Radiologi,XR ankle dua proyeksi kiri,Permintaan & Hasil,26386-3,XR Ankle - left 2 Views,Views 2,Find,Pt,Lower extremity.left>Ankle,Doc,XR,,http://loinc.org,,,
721,Radiologi,XR ankle lengkap minimal tiga proyeksi,Permintaan & Hasil,44210-3,XR Ankle GE 3 Views,Views GE 3,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,,,
722,Radiologi,XR ankle mortise kanan,Permintaan & Hasil,37007-2,XR Ankle Mortise,View Mortise,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,6685009,Structure of right ankle,http://snomed.info/sct
723,Radiologi,XR ankle mortise kiri,Permintaan & Hasil,37007-2,XR Ankle Mortise,View Mortise,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,51636004,Structure of left ankle,http://snomed.info/sct
724,Radiologi,XR ankle tiga proyeksi,Permintaan & Hasil,36294-7,XR Ankle 3 Views,Views 3,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,,,
725,Radiologi,XR ankle tiga proyeksi bilateral,Permintaan & Hasil,36295-4,XR Ankle - bilateral 3 Views,Views 3,Find,Pt,Lower extremity.bilateral>Ankle,Doc,XR,,http://loinc.org,,,
726,Radiologi,XR ankle tiga proyeksi kanan,Permintaan & Hasil,37665-7,XR Ankle - right 3 Views,Views 3,Find,Pt,Lower extremity.right>Ankle,Doc,XR,,http://loinc.org,,,
727,Radiologi,XR ankle tiga proyeksi kiri,Permintaan & Hasil,36296-2,XR Ankle - left 3 Views,Views 3,Find,Pt,Lower extremity.left>Ankle,Doc,XR,,http://loinc.org,,,
728,Radiologi,XR antebrachii AP dan lateral kanan,Permintaan & Hasil,37708-5,XR Radius and Ulna - right AP and Lateral,Views AP + lateral,Find,Pt,Upper extremity.right>Radius+Ulna,Doc,XR,,http://loinc.org,,,
729,Radiologi,XR antebrachii AP dan lateral kiri,Permintaan & Hasil,36700-3,XR Radius and Ulna - left AP and Lateral,Views AP + lateral,Find,Pt,Upper extremity.left>Radius+Ulna,Doc,XR,,http://loinc.org,,,
730,Radiologi,XR antebrachii dua proyeksi,Permintaan & Hasil,36658-3,XR Radius and Ulna 2 Views,Views 2,Find,Pt,Upper extremity>Radius+Ulna,Doc,XR,,http://loinc.org,,,
731,Radiologi,XR antebrachii dua proyeksi bilateral,Permintaan & Hasil,36659-1,XR Radius and Ulna - bilateral 2 Views,Views 2,Find,Pt,Upper extremity.bilateral>Radius+Ulna,Doc,XR,,http://loinc.org,,,
732,Radiologi,XR antebrachii dua proyeksi kanan atau kiri,Permintaan & Hasil,26146-1,XR Radius and Ulna - bilateral Views,Views,Find,Pt,Upper extremity.bilateral>Radius+Ulna,Doc,XR,,http://loinc.org,,,
733,Radiologi,XR artc. coxae axial kanan,Permintaan & Hasil,37726-7,XR Hip - right AP,View AP,Find,Pt,Lower extremity.right>Hip,Doc,XR,,http://loinc.org,,,
734,Radiologi,XR artc. coxae axial kiri,Permintaan & Hasil,36582-5,XR Hip - left AP,View AP,Find,Pt,Lower extremity.left>Hip,Doc,XR,,http://loinc.org,,,
735,Radiologi,XR artc. coxae kiri,Permintaan & Hasil,26131-3,XR Hip - left Views,Views,Find,Pt,Lower extremity.left>Hip,Doc,XR,,http://loinc.org,,,
736,Radiologi,XR artc. coxae lateral kanan,Permintaan & Hasil,37730-9,XR Hip - right Lateral,View lateral,Find,Pt,Lower extremity.right>Hip,Doc,XR,,http://loinc.org,,,
737,Radiologi,XR artc. coxae lateral kiri,Permintaan & Hasil,36603-9,XR Hip - left Lateral,View lateral,Find,Pt,Lower extremity.left>Hip,Doc,XR,,http://loinc.org,,,
738,Radiologi,XR artc. coxae oblique kanan,Permintaan & Hasil,37728-3,XR Hip - right Oblique crosstable,View oblique crosstable,Find,Pt,Lower extremity.right>Hip,Doc,XR,,http://loinc.org,,,
739,Radiologi,XR artc. coxae oblique kiri,Permintaan & Hasil,37545-1,XR Hip - left Oblique crosstable,View oblique crosstable,Find,Pt,Lower extremity.left>Hip,Doc,XR,,http://loinc.org,,,
740,Radiologi,XR atresia ani,Permintaan & Hasil,36984-3,XR Abdomen Lateral crosstable,View lateral crosstable,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
741,Radiologi,XR bahu AP kanan,Permintaan & Hasil,37798-6,XR Shoulder - right AP,View AP,Find,Pt,Upper extremity.right>Shoulder,Doc,XR,,http://loinc.org,,,
742,Radiologi,XR bahu AP kiri,Permintaan & Hasil,36587-4,XR Shoulder - left AP,View AP,Find,Pt,Upper extremity.left>Shoulder,Doc,XR,,http://loinc.org,,,
743,Radiologi,XR bahu axial kanan,Permintaan & Hasil,37800-0,XR Shoulder - right Axillary,View axillary,Find,Pt,Upper extremity.right>Shoulder,Doc,XR,,http://loinc.org,,,
744,Radiologi,XR bahu axial kiri,Permintaan & Hasil,36964-5,XR Shoulder - left Axillary,View axillary,Find,Pt,Upper extremity.left>Shoulder,Doc,XR,,http://loinc.org,,,
745,Radiologi,XR bahu dua proyeksi,Permintaan & Hasil,37840-6,XR Shoulder 2 Views,Views 2,Find,Pt,Upper extremity>Shoulder,Doc,XR,,http://loinc.org,,,
746,Radiologi,XR bahu dua proyeksi bilateral,Permintaan & Hasil,36667-4,XR Shoulder - bilateral 2 Views,Views 2,Find,Pt,Upper extremity.bilateral>Shoulder,Doc,XR,,http://loinc.org,,,
747,Radiologi,XR bahu dua proyeksi kanan,Permintaan & Hasil,37793-7,XR Shoulder - right 2 Views,Views 2,Find,Pt,Upper extremity.right>Shoulder,Doc,XR,,http://loinc.org,,,
748,Radiologi,XR bahu dua proyeksi kiri,Permintaan & Hasil,36668-2,XR Shoulder - left 2 Views,Views 2,Find,Pt,Upper extremity.left>Shoulder,Doc,XR,,http://loinc.org,,,
749,Radiologi,XR bahu minimal dua proyeksi,Permintaan & Hasil,79370-3,XR Shoulder GE 2 Views,Views GE 2,Find,Pt,Upper extremity>Shoulder,Doc,XR,,http://loinc.org,,,
750,Radiologi,XR bahu satu proyeksi,Permintaan & Hasil,30748-8,XR Shoulder Single view,View,Find,Pt,Upper extremity>Shoulder,Doc,XR,,http://loinc.org,,,
751,Radiologi,XR bahu tiga proyeksi kanan,Permintaan & Hasil,26384-8,XR Shoulder - right 3 Views,Views 3,Find,Pt,Upper extremity.right>Shoulder,Doc,XR,,http://loinc.org,,,
752,Radiologi,XR bahu tiga proyeksi kiri,Permintaan & Hasil,26383-0,XR Shoulder - left 3 Views,Views 3,Find,Pt,Upper extremity.left>Shoulder,Doc,XR,,http://loinc.org,,,
753,Radiologi,XR basis cranium,Permintaan & Hasil,48697-7,XR Skull base Views,Views,Find,Pt,Head>Skull.base,Doc,XR,,http://loinc.org,,,
754,Radiologi,XR BOF - LLD,Permintaan & Hasil,24561-3,XR Abdomen AP left lateral-decubitus,View AP L-lateral-decubitus,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
755,Radiologi,XR BOF/BNO/KUB,Permintaan & Hasil,36550-2,XR Abdomen Single view,View,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
756,Radiologi,XR BOF/BNO/KUB erect,Permintaan & Hasil,37046-0,XR Abdomen Upright,View upright,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
757,Radiologi,XR BOF/BNO/KUB tiga proyeksi,Permintaan & Hasil,36293-9,XR Abdomen 3 Views,Views 3,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
758,Radiologi,XR bronkografi bilateral,Permintaan & Hasil,30813-0,XR Lung - bilateral Views W contrast intrabronchial,Views^W contrast intrabronchial,Find,Pt,Chest>Lung.bilateral,Doc,XR,,http://loinc.org,,,
759,Radiologi,XR bronkografi kanan,Permintaan & Hasil,64997-0,XR Lung - right Views W contrast intrabronchial,Views^W contrast intrabronchial,Find,Pt,Chest>Lung.right,Doc,XR,,http://loinc.org,,,
760,Radiologi,XR bronkografi kiri,Permintaan & Hasil,64996-2,XR Lung - left Views W contrast intrabronchial,Views^W contrast intrabronchial,Find,Pt,Chest>Lung.left,Doc,XR,,http://loinc.org,,,
